bin_code, banka_kodu, banka_adi, card_type, sub_type, virtual, prepaid, marka,null1,null2,yapıkredi,binlist.net,garanti
413252,46, AKBANK T.A.Ş., VISA, PLATINUM, , , axess,,,0,1,1
425669,46, AKBANK T.A.Ş., VISA, BUSINESS, , , axess,,,0,0,1
432071,46, AKBANK T.A.Ş., VISA, GOLD, , , axess,,,0,1,1
432072,46, AKBANK T.A.Ş., VISA, PLATINUM, , , axess,,,0,0,1
435508,46, AKBANK T.A.Ş., VISA, CLASSIC, , , axess,,,0,0,1
435509,46, AKBANK T.A.Ş., VISA, GOLD, , , axess,,,0,0,1
493837,46, AKBANK T.A.Ş., VISA, Acquiring, , , ,,,0,0,1
512754,46, AKBANK T.A.Ş., MASTERCARD, GOLD, , , axess,,,0,0,1
520932,46, AKBANK T.A.Ş., MASTERCARD, CLASSIC, , , axess,,,0,0,1
521807,46, AKBANK T.A.Ş., MASTERCARD, PLATINUM, , , axess,,,0,0,1
524347,46, AKBANK T.A.Ş., MASTERCARD, PLATINUM, , , axess,,,0,1,1
542110,46, AKBANK T.A.Ş., MASTERCARD, Acquiring, , , ,,,0,0,0
552608,46, AKBANK T.A.Ş., MASTERCARD, BUSINESS, , , axess,,,0,0,1
552609,46, AKBANK T.A.Ş., MASTERCARD, BUSINESS, , , axess,,,0,0,1
553056,46, AKBANK T.A.Ş., MASTERCARD, BUSINESS, , , axess,,,0,0,1
557113,46, AKBANK T.A.Ş., MASTERCARD, CLASSIC, , , axess,,,0,1,1
557829,46, AKBANK T.A.Ş., MASTERCARD, GOLD, , , axess,,,0,1,1
417715,203, ALBARAKA TÜRK KATILIM BANKASI A.Ş., VISA, BUSINESS, , ,world,,,1,0,1
432284,203, ALBARAKA TÜRK KATILIM BANKASI A.Ş., VISA, CLASSIC, , ,world,,,1,0,1
432285,203, ALBARAKA TÜRK KATILIM BANKASI A.Ş., VISA, GOLD, , ,world,,,1,0,1
534264,203, ALBARAKA TÜRK KATILIM BANKASI A.Ş., MASTERCARD, CLASSIC, , ,world,,,1,0,1
547234,203, ALBARAKA TÜRK KATILIM BANKASI A.Ş., MASTERCARD, BUSINESS, , ,world,,,1,0,1
548232,203, ALBARAKA TÜRK KATILIM BANKASI A.Ş., MASTERCARD, GOLD, , , ,,,0,0,1
511583,203, ALBARAKA TÜRK KATILIM BANKASI A.Ş., MASTERCARD,,,,world,,,1,0,1
424935,203, ALBARAKA TÜRK KATILIM BANKASI A.Ş., VISA,,,,world,,,1,0,1
425846,135, ANADOLUBANK A.Ş., VISA, GOLD, , ,world,,,1,0,1
425847,135, ANADOLUBANK A.Ş., VISA, CLASSIC, , ,world,,,1,0,1
425848,135, ANADOLUBANK A.Ş., VISA, BUSINESS, , ,world,,,1,0,1
