banka_kodu,banka_adi,bin_code,card_type,sinif,marka,sub_type,taksit,odul,ticari
1,TÜRK ELEKTRONİK PARA A.S.,535616,MASTER,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,Hayır
1,TÜRK ELEKTRONİK PARA A.S.,979235,TROY,YITDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
1,TÜRK ELEKTRONİK PARA A.S.,979248,TROY,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,Hayır
1,TÜRK ELEKTRONİK PARA A.S.,979257,TROY,YITDK,DİĞER BANKA,Kredi Kartı,NoInstallment,,Hayır
2,PAPARA ELEKTRONİK PARA VE ÖDEME HİZMETLE,531389,MASTER,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
2,PAPARA ELEKTRONİK PARA VE ÖDEME HİZMETLE,535925,MASTER,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
3,POSTA VE TELGRAF TEŞKİLATI A.Ş.,671200,TROY,YITDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
3,POSTA VE TELGRAF TEŞKİLATI A.Ş.,979249,TROY,YITDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
3,POSTA VE TELGRAF TEŞKİLATI A.Ş.,979254,TROY,YITDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
3,POSTA VE TELGRAF TEŞKİLATI A.Ş.,979277,TROY,YITDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
3,POSTA VE TELGRAF TEŞKİLATI A.Ş.,979278,TROY,YITDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
4,İNİNAL ÖDEME VE ELEKTRONİK PARA HİZ. A.Ş,979266,TROY,YITKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,Hayır
10,ZİRAAT BANKASI,404591,VISA,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,Hayır
10,ZİRAAT BANKASI,407814,VISA,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
10,ZİRAAT BANKASI,413226,VISA,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,
10,ZİRAAT BANKASI,444676,VISA,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,
10,ZİRAAT BANKASI,444677,VISA,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,
10,ZİRAAT BANKASI,444678,VISA,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,
10,ZİRAAT BANKASI,447504,VISA,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
10,ZİRAAT BANKASI,454671,VISA,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,
10,ZİRAAT BANKASI,454672,VISA,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,
10,ZİRAAT BANKASI,454673,VISA,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,Evet
10,ZİRAAT BANKASI,454674,VISA,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,
10,ZİRAAT BANKASI,469884,VISA,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,Evet
10,ZİRAAT BANKASI,476619,VISA,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
10,ZİRAAT BANKASI,482465,VISA,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
10,ZİRAAT BANKASI,511885,MASTER,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,Hayır
10,ZİRAAT BANKASI,512440,MASTER,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
10,ZİRAAT BANKASI,513662,MASTER,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,Hayır
10,ZİRAAT BANKASI,516932,MASTER,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
10,ZİRAAT BANKASI,523529,MASTER,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,Hayır
10,ZİRAAT BANKASI,527682,MASTER,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
10,ZİRAAT BANKASI,528208,MASTER,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
10,ZİRAAT BANKASI,530905,MASTER,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,Hayır
10,ZİRAAT BANKASI,531102,MASTER,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
10,ZİRAAT BANKASI,533154,MASTER,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
10,ZİRAAT BANKASI,534981,MASTER,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,Hayır
10,ZİRAAT BANKASI,540130,MASTER,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,
10,ZİRAAT BANKASI,540134,MASTER,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,
10,ZİRAAT BANKASI,542374,MASTER,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,
10,ZİRAAT BANKASI,546957,MASTER,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
10,ZİRAAT BANKASI,547287,MASTER,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,Evet
10,ZİRAAT BANKASI,549449,MASTER,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,Hayır
10,ZİRAAT BANKASI,676123,MASTER,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
10,ZİRAAT BANKASI,676124,MASTER,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
10,ZİRAAT BANKASI,979217,TROY,YITDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
10,ZİRAAT BANKASI,979280,TROY,YITDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
12,T. HALK BANKASI A.Ş.,113012,AMEX,YIAMEX,DİĞER BANKA,Kredi Kartı,NoInstallment,,Hayır
12,T. HALK BANKASI A.Ş.,401049,VISA,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
12,T. HALK BANKASI A.Ş.,415514,VISA,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,Hayır
12,T. HALK BANKASI A.Ş.,415515,VISA,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
12,T. HALK BANKASI A.Ş.,416607,VISA,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,Hayır
12,T. HALK BANKASI A.Ş.,421030,VISA,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
12,T. HALK BANKASI A.Ş.,440776,VISA,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
12,T. HALK BANKASI A.Ş.,447505,VISA,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
12,T. HALK BANKASI A.Ş.,451454,VISA,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
12,T. HALK BANKASI A.Ş.,466260,VISA,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
12,T. HALK BANKASI A.Ş.,492094,VISA,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,
12,T. HALK BANKASI A.Ş.,492095,VISA,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,
12,T. HALK BANKASI A.Ş.,498852,VISA,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,Evet
12,T. HALK BANKASI A.Ş.,499821,VISA,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
12,T. HALK BANKASI A.Ş.,510056,MASTER,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,Hayır
12,T. HALK BANKASI A.Ş.,521378,MASTER,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,Hayır
12,T. HALK BANKASI A.Ş.,526289,MASTER,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
12,T. HALK BANKASI A.Ş.,526290,MASTER,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
12,T. HALK BANKASI A.Ş.,537500,MASTER,YIDK,DİĞER BANKA,Debit Kart,NoInstallment,,Hayır
12,T. HALK BANKASI A.Ş.,540435,MASTER,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,
12,T. HALK BANKASI A.Ş.,543081,MASTER,YIKK,DİĞER BANKA,Kredi Kartı,NoInstallment,,
