banka_kodu,banka_adi,bin_code,bin8_code,sub_type,card_type,sanal / fiziki,ticari,taksit,marka
64,T. İŞ BANKASI A.Ş.,401071,40107100,Banka Kartı,VISA,sanal,Hayır,NoInstallment,DİĞER BANKA
64,T. İŞ BANKASI A.Ş.,401071,40107101,Banka Kartı,VISA,sanal,Hayır,NoInstallment,DİĞER BANKA
64,T. İŞ BANKASI A.Ş.,401071,40107102,Banka Kartı,VISA,sanal,Hayır,NoInstallment,DİĞER BANKA
64,T. İŞ BANKASI A.Ş.,401071,40107103,Banka Kartı,VISA,sanal,Hayır,NoInstallment,DİĞER BANKA
64,T. İŞ BANKASI A.Ş.,401071,40107104,Banka Kartı,VISA,sanal,Hayır,NoInstallment,DİĞER BANKA
64,T. İŞ BANKASI A.Ş.,401071,40107105,Banka Kartı,VISA,sanal,Hayır,NoInstallment,DİĞER BANKA
64,T. İŞ BANKASI A.Ş.,401071,40107106,Banka Kartı,VISA,sanal,Hayır,NoInstallment,DİĞER BANKA
64,T. İŞ BANKASI A.Ş.,401071,40107107,Banka Kartı,VISA,sanal,Hayır,NoInstallment,DİĞER BANKA
64,T. İŞ BANKASI A.Ş.,401071,40107108,Banka Kartı,VISA,sanal,Hayır,NoInstallment,DİĞER BANKA
64,T. İŞ BANKASI A.Ş.,401071,40107109,Banka Kartı,VISA,sanal,Hayır,NoInstallment,DİĞER BANKA
64,T. İŞ BANKASI A.Ş.,401071,40107110,Banka Kartı,VISA,sanal,Hayır,NoInstallment,DİĞER BANKA
64,T. İŞ BANKASI A.Ş.,401071,40107111,Banka Kartı,VISA,sanal,Hayır,NoInstallment,DİĞER BANKA
64,T. İŞ BANKASI A.Ş.,401071,40107112,Banka Kartı,VISA,sanal,Hayır,NoInstallment,DİĞER BANKA
64,T. İŞ BANKASI A.Ş.,401071,40107113,Banka Kartı,VISA,sanal,Hayır,NoInstallment,DİĞER BANKA
64,T. İŞ BANKASI A.Ş.,401071,40107114,Banka Kartı,VISA,sanal,Hayır,NoInstallment,DİĞER BANKA
64,T. İŞ BANKASI A.Ş.,401071,40107115,Banka Kartı,VISA,sanal,Hayır,NoInstallment,DİĞER BANKA
64,T. İŞ BANKASI A.Ş.,401071,40107116,Banka Kartı,VISA,sanal,Hayır,NoInstallment,DİĞER BANKA
64,T. İŞ BANKASI A.Ş.,401071,40107117,Banka Kartı,VISA,sanal,Hayır,NoInstallment,DİĞER BANKA
64,T. İŞ BANKASI A.Ş.,401071,40107118,Banka Kartı,VISA,sanal,Hayır,NoInstallment,DİĞER BANKA
